caldt,prtnam,prtcnt,prtwgt,totret,totind,capret,capind,incret,incind
1980-03-31,1,146,564847564,-0.096744,65.651,-0.099025,5.773,0.002281,11.336
1980-03-31,2,148,139805866,-0.116833,105.041,-0.121177,8.357,0.004344,12.574
1980-03-31,3,150,85777288,-0.116396,154.745,-0.120665,12.658,0.004269,12.178
1980-03-31,4,148,53908755,-0.135716,137.874,-0.140263,11.948,0.004547,11.516
1980-03-31,5,157,38603509,-0.152582,222.160,-0.156401,18.516,0.003819,11.983
1980-03-31,6,167,27017095,-0.166143,200.456,-0.169960,17.186,0.003817,11.619
1980-03-31,7,177,19553879,-0.168173,254.294,-0.171703,25.593,0.003530,9.869
1980-03-31,8,192,13239922,-0.176921,215.828,-0.180753,26.023,0.003833,8.177
1980-03-31,9,227,10195217,-0.189180,256.852,-0.192514,44.535,0.003334,5.751
1980-03-31,10,711,10667424,-0.192455,1282.644,-0.194787,400.250,0.002332,3.212
1980-03-31,1_2,294,704653430,-0.100730,70.624,-0.103420,6.107,0.002690,11.536
1980-03-31,3_5,455,178289552,-0.130073,162.003,-0.134328,13.505,0.004255,11.964
1980-03-31,6_8,536,59810896,-0.169193,222.849,-0.172919,21.624,0.003726,10.241
1980-03-31,9_10,938,20862641,-0.190855,460.650,-0.193676,97.533,0.002822,4.714
1980-03-31,1_5,749,882942982,-0.106655,79.652,-0.109661,6.854,0.003006,11.598
1980-03-31,6_10,1474,80673537,-0.174795,250.922,-0.178287,27.896,0.003492,8.942
1980-03-31,Mrkt,2223,963616519,-0.112360,85.042,-0.115406,7.421,0.003047,11.437
1980-04-30,1,145,509442462,0.042414,68.436,0.040177,6.005,0.002237,11.361
1980-04-30,2,150,125812090,0.057822,111.114,0.054507,8.812,0.003314,12.616
1980-04-30,3,149,75158195,0.066080,164.970,0.062876,13.454,0.003204,12.217
1980-04-30,4,152,47098722,0.068702,147.346,0.065672,12.733,0.003030,11.551
1980-04-30,5,157,32480163,0.066272,236.883,0.063603,19.694,0.002669,12.015
1980-04-30,6,170,22531479,0.063851,213.256,0.060787,18.231,0.003064,11.654
1980-04-30,7,171,15044296,0.060242,269.613,0.056828,27.048,0.003414,9.903
1980-04-30,8,197,11093443,0.065992,230.071,0.064255,27.695,0.001736,8.191
1980-04-30,9,233,7945744,0.065893,273.776,0.063856,47.379,0.002037,5.763
1980-04-30,10,694,7960562,0.056609,1355.253,0.054438,422.039,0.002171,3.219
1980-04-30,1_2,295,635254553,0.045465,73.835,0.043015,6.370,0.002450,11.564
1980-04-30,3_5,458,154737080,0.066918,172.844,0.063880,14.367,0.003039,12.000
1980-04-30,6_8,538,48669218,0.063223,236.938,0.060354,22.929,0.002870,10.270
1980-04-30,9_10,927,15906305,0.061247,488.863,0.059143,103.301,0.002104,4.724
1980-04-30,1_5,753,789991633,0.049667,83.608,0.047102,7.177,0.002565,11.628
1980-04-30,6_10,1465,64575523,0.062737,266.664,0.060055,29.571,0.002681,8.966
1980-04-30,Mrkt,2218,854567156,0.050655,89.350,0.048081,7.778,0.002574,11.467
1980-05-30,1,147,532412424,0.047808,71.707,0.038425,6.236,0.009383,11.468
1980-05-30,2,149,131815941,0.069866,118.878,0.062832,9.366,0.007034,12.704
1980-05-30,3,150,80311153,0.074491,177.259,0.068345,14.374,0.006147,12.292
1980-05-30,4,151,49825787,0.083888,159.706,0.077415,13.719,0.006474,11.626
1980-05-30,5,156,34335721,0.078134,255.391,0.073194,21.135,0.004940,12.075
1980-05-30,6,169,23812589,0.086901,231.788,0.082301,19.732,0.004600,11.708
1980-05-30,7,170,15818396,0.092845,294.645,0.087786,29.422,0.005059,9.953
1980-05-30,8,198,11953939,0.075091,247.348,0.070567,29.650,0.004525,8.228
1980-05-30,9,233,8443814,0.066550,291.996,0.062823,50.355,0.003726,5.784
1980-05-30,10,694,8440582,0.071021,1451.505,0.068096,450.778,0.002925,3.228
1980-05-30,1_2,296,664228365,0.052185,77.688,0.043268,6.646,0.008917,11.667
