caldt,t30ret,t30ind
1970-01-30,0.005781,87.236350
1970-02-27,0.006167,87.774340
1970-03-31,0.005542,88.260760
1970-04-30,0.005286,88.727300
1970-05-29,0.005546,89.219370
1970-06-30,0.005546,89.714200
1970-07-31,0.004886,90.152570
1970-08-31,0.005020,90.605100
1970-09-30,0.005034,91.061170
1970-10-30,0.004954,91.512300
1970-11-30,0.004489,91.923120
1970-12-31,0.003786,92.271140
1971-01-29,0.003777,92.619670
1971-02-26,0.003344,92.929440
1971-03-31,0.002924,93.201110
1971-04-30,0.002804,93.462440
1971-05-28,0.003127,93.754700
1971-06-30,0.003505,94.083260
1971-07-30,0.004272,94.485210
1971-08-31,0.004446,94.905290
1971-09-30,0.003630,95.249810
1971-10-29,0.003855,95.617010
1971-11-30,0.003506,95.952220
1971-12-31,0.003152,96.254600
1972-01-31,0.002850,96.528920
1972-02-29,0.002659,96.785620
1972-03-30,0.002590,97.036280
1972-04-28,0.002962,97.323750
1972-05-31,0.002942,97.610060
1972-06-30,0.002800,97.883330
1972-07-31,0.003084,98.185160
1972-08-31,0.002988,98.478590
1972-09-29,0.003546,98.827770
1972-10-31,0.003891,99.212250
1972-11-30,0.003739,99.583230
1972-12-29,0.004185,100.000000
1973-01-31,0.004410,100.441000
1973-02-28,0.004277,100.870600
1973-03-30,0.004750,101.349700
1973-04-30,0.005002,101.856700
1973-05-31,0.005098,102.375900
1973-06-29,0.005379,102.926600
1973-07-31,0.006540,103.599800
1973-08-31,0.006855,104.310000
1973-09-28,0.006749,105.013900
1973-10-31,0.006856,105.733900
1973-11-30,0.005529,106.318500
1973-12-31,0.006961,107.058700
1974-01-31,0.006274,107.730300
1974-02-28,0.005819,108.357200
1974-03-29,0.005677,108.972300
1974-04-30,0.007949,109.838500
1974-05-31,0.007235,110.633200
1974-06-28,0.006892,111.395700
1974-07-31,0.006756,112.148300
1974-08-30,0.005940,112.814500
1974-09-30,0.007997,113.716600
1974-10-31,0.005254,114.314200
1974-11-29,0.005139,114.901600
1974-12-31,0.007009,115.707000
1975-01-31,0.005387,116.330400
1975-02-28,0.004326,116.833600
1975-03-31,0.004014,117.302600
1975-04-30,0.004489,117.829200
1975-05-30,0.004869,118.402800
1975-06-30,0.004133,118.892200
1975-07-31,0.004811,119.464200
1975-08-29,0.004815,120.039400
1975-09-30,0.005575,120.708600
1975-10-31,0.005185,121.334500
1975-11-28,0.004127,121.835200
1975-12-31,0.004983,122.442400
1976-01-30,0.004402,122.981400
1976-02-27,0.003452,123.405900
1976-03-31,0.004344,123.942000
