KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,RMTREASNO,RMCRSPID,TMBIDYTM,TMASKYTM,TMYTM,TMDURATN
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-01-31,201027,19750306.400000,5.8763543186207E+00,5.2037398288570E+00,5.5399943958335E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-02-28,201032,19750403.400000,5.1018463378290E+00,4.4093218192100E+00,4.7555282358248E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-03-31,201038,19750501.400000,5.4674229271505E+00,5.0804063394691E+00,5.2738987318131E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-04-30,201046,19750603.400000,5.3973274259539E+00,5.0305072337263E+00,5.2139016622380E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-05-30,201052,19750630.400000,5.0396340751861E+00,4.6731491319518E+00,4.8563773445018E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-06-30,201059,19750731.400000,5.9054795150531E+00,5.3960962482936E+00,5.6507603350614E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-07-31,201066,19750904.400000,6.2031391368422E+00,5.8563923304196E+00,6.0297513220994E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-08-29,201072,19751002.400000,6.1006276389885E+00,5.8355853284075E+00,5.9680983042030E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-09-30,201077,19751030.400000,6.4859088013412E+00,6.0985925519788E+00,6.2922352642755E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-10-31,201084,19751204.400000,5.4788228822977E+00,5.1527918744468E+00,5.3157950014153E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-11-28,201090,19760102.400000,5.3569179585162E+00,5.0105257087820E+00,5.1837074515750E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1975-12-31,201096,19760131.400000,5.3961317331290E+00,4.9479725850787E+00,5.1720308363462E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-01-30,201104,19760304.400000,4.6536880576040E+00,4.3889272405367E+00,4.5212994869407E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-02-27,201110,19760401.400000,4.7758542982094E+00,4.5314602528405E+00,4.6536503208426E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-03-31,201116,19760504.400000,4.8675905517115E+00,4.6434883983750E+00,4.7555336273024E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-04-30,201124,19760601.400000,4.8057649536038E+00,4.5818074274521E+00,4.6937806938734E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-05-28,201129,19760629.400000,5.2742663053084E+00,4.8465777431384E+00,5.0604019784695E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-06-30,201137,19760805.400000,5.3675160786251E+00,5.2248282302562E+00,5.2961696443257E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-07-30,201145,19760902.400000,5.1629100773819E+00,4.9999733024616E+00,5.0814385986706E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-08-31,201151,19760930.400000,4.8764504647301E+00,4.6525115658383E+00,4.7644758630278E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-09-30,201158,19761104.400000,5.1429232372089E+00,5.0206797127473E+00,5.0817996838077E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-10-29,201165,19761202.400000,4.8166226026523E+00,4.6944157809868E+00,4.7555174528699E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-11-30,201170,19761230.400000,4.4184665508883E+00,4.2759366944756E+00,4.3471995355490E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1976-12-31,201177,19770203.400000,4.3075144769473E+00,4.2057167885909E+00,4.2566144261453E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-01-31,201184,19770303.400000,4.6222843906245E+00,4.4797967978777E+00,4.5510384388261E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-02-28,201190,19770331.400000,4.5306501313285E+00,4.3271081651257E+00,4.4288747499078E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-03-31,201197,19770503.400000,4.6228491157515E+00,4.4599890658742E+00,4.5414160933057E+00,33
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-04-29,201205,19770531.400000,4.5614456683224E+00,4.2154200557869E+00,4.3884197405506E+00,32
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-05-31,201210,19770628.400000,5.0182811916268E+00,4.6519248501225E+00,4.8350901507543E+00,28
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-06-30,201219,19770804.400000,5.0105257087820E+00,4.8882138814902E+00,4.9493680019636E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-07-29,201226,19770901.400000,5.4788228822977E+00,5.2138585119991E+00,5.3463325224635E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),1977-08-31,201233,19771006.400000,5.4796522423998E+00,5.2757552955731E+00,5.3776986434293E+00,36
